Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,9/17/2016,East,1845,0.24,166.05,Tamil Nadu
OD32,Mathew,Snacks,Noodles,Vellore,9/17/2016,East,1400,0.11,420,Tamil Nadu
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,9/17/2016,East,2163,0.26,670.53,Tamil Nadu
OD34,Anu,Oil & Masala,Masalas,Madurai,9/17/2016,East,1689,0.34,337.8,Tamil Nadu
OD35,Anu,Beverages,Health Drinks,Vellore,10/19/2018,Central,809,0.32,80.9,Tamil Nadu
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,12-08-2017,Central,1265,0.22,569.25,Tamil Nadu
OD37,James,Beverages,Soft Drinks,Salem,12-08-2017,Central,934,0.35,56.04,Tamil Nadu
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,12/27/2016,Central,1354,0.16,446.82,Tamil Nadu
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,12/27/2016,Central,1751,0.19,280.16,Tamil Nadu
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,12/27/2016,Central,2045,0.23,879.35,Tamil Nadu
OD41,Malik,Beverages,Health Drinks,Namakkal,12/27/2016,Central,660,0.19,92.4,Tamil Nadu
OD42,Arutra,Beverages,Soft Drinks,Salem,09-10-2018,Central,1868,0.18,616.44,Tamil Nadu
OD43,Sharon,Snacks,Cookies,Bodi,7/17/2017,West,1017,0.25,345.78,Tamil Nadu
OD44,Mathew,Snacks,Cookies,Dharmapuri,9/19/2018,South,2311,0.2,1039.95,Tamil Nadu
OD45,Amrish,Bakery,Biscuits,Krishnagiri,03-11-2017,Central,1663,0.17,731.72,Tamil Nadu
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,03-11-2017,Central,1420,0.19,355,Tamil Nadu
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,10/20/2015,Central,1415,0.31,509.4,Tamil Nadu
OD48,Mathew,Snacks,Noodles,Chennai,6/20/2017,East,1488,0.3,610.08,Tamil Nadu
OD49,Ridhesh,Snacks,Noodles,Pudukottai,6/20/2017,East,726,0.18,43.56,Tamil Nadu
OD50,Amrish,Bakery,Cakes,Ooty,4/18/2016,Central,1259,0.15,415.47,Tamil Nadu
OD51,Esther,Beverages,Soft Drinks,Salem,4/18/2016,Central,902,0.29,153.34,Tamil Nadu
OD52,Shah,Beverages,Soft Drinks,Salem,4/18/2016,Central,2306,0.3,553.44,Tamil Nadu
OD53,Sudha,Bakery,Cakes,Theni,4/18/2016,Central,1417,0.19,99.19,Tamil Nadu
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,12-11-2017,East,627,0.33,181.83,Tamil Nadu
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,12-11-2017,East,760,0.28,60.8,Tamil Nadu
OD56,Muneer,Food Grains,Atta & Flour,Salem,6/17/2017,East,2350,0.15,611,Tamil Nadu
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,6/17/2017,East,1179,0.34,271.17,Tamil Nadu
OD58,Veena,Food Grains,Dals & Pulses,Trichy,6/17/2017,East,1624,0.35,194.88,Tamil Nadu
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,6/17/2017,East,1316,0.35,421.12,Tamil Nadu
OD60,Shree,Beverages,Health Drinks,Coimbatore,6/17/2017,East,2121,0.12,678.72,Tamil Nadu
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,6/17/2017,East,1428,0.28,271.32,Tamil Nadu
OD62,Willams,Snacks,Noodles,Perambalur,6/17/2017,East,706,0.33,289.46,Tamil Nadu
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,11/24/2016,West,921,0.25,184.2,Tamil Nadu
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,11/24/2016,West,1741,0.31,661.58,Tamil Nadu
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,11/24/2016,West,607,0.22,200.31,Tamil Nadu
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,11/24/2016,West,1824,0.25,766.08,Tamil Nadu
OD67,Vinne,Food Grains,Atta & Flour,Madurai,4/30/2016,Central,1368,0.11,383.04,Tamil Nadu
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,12-05-2015,West,1160,0.16,510.4,Tamil Nadu
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,12-05-2015,West,1294,0.23,77.64,Tamil Nadu
OD70,Peer,Oil & Masala,Masalas,Ooty,06-04-2017,South,1232,0.14,554.4,Tamil Nadu
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,9/18/2017,East,994,0.31,357.84,Tamil Nadu
OD72,Yusuf,Snacks,Noodles,Kanyakumari,9/14/2018,Central,2468,0.18,1011.88,Tamil Nadu
OD73,Alan,Snacks,Cookies,Theni,4/26/2016,South,721,0.27,100.94,Tamil Nadu
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,4/26/2016,South,2375,0.21,475,Tamil Nadu
OD75,Arvind,Beverages,Soft Drinks,Vellore,4/26/2016,South,1965,0.13,117.9,Tamil Nadu
OD76,Veronica,Beverages,Soft Drinks,Bodi,12-09-2018,Central,1489,0.12,193.57,Tamil Nadu
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,12-09-2018,Central,1250,0.27,75,Tamil Nadu
OD78,Anu,Snacks,Noodles,Coimbatore,12-09-2018,Central,1358,0.31,488.88,Tamil Nadu
OD79,Haseena,Snacks,Cookies,Vellore,11/26/2015,Central,719,0.2,64.71,Tamil Nadu
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,06-12-2017,South,2303,0.26,621.81,Tamil Nadu
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,06-12-2017,South,2027,0.34,912.15,Tamil Nadu
OD82,Amy,Food Grains,Atta & Flour,Bodi,10-12-2015,West,1739,0.29,765.16,Tamil Nadu
OD83,Komal,Oil & Masala,Spices,Cumbum,10-12-2015,West,990,0.26,227.7,Tamil Nadu
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,09-03-2016,South,2354,0.11,682.66,Tamil Nadu
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,11/13/2018,Central,1044,0.1,344.52,Tamil Nadu
OD86,Willams,Oil & Masala,Spices,Dindigul,5/28/2018,South,2129,0.25,659.99,Tamil Nadu
OD87,Sharon,Food Grains,Rice,Theni,10/26/2018,Central,1759,0.1,615.65,Tamil Nadu
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,10/26/2018,Central,1663,0.26,665.2,Tamil Nadu
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,04-05-2017,Central,2111,0.21,189.99,Tamil Nadu
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,9/17/2017,West,1878,0.12,450.72,Tamil Nadu
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,9/17/2017,West,769,0.34,46.14,Tamil Nadu
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,9/17/2017,West,1241,0.14,409.53,Tamil Nadu
OD93,Ravi,Food Grains,Atta & Flour,Madurai,1/31/2016,Central,2128,0.14,383.04,Tamil Nadu
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,1/31/2016,Central,2257,0.33,270.84,Tamil Nadu
OD95,Mathew,Snacks,Chocolates,Bodi,1/31/2016,Central,1285,0.28,218.45,Tamil Nadu
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,11-06-2018,West,1230,0.13,442.8,Tamil Nadu
OD97,Sudha,Food Grains,Atta & Flour,Ooty,11-09-2018,East,1856,0.21,723.84,Tamil Nadu
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,6/17/2018,West,545,0.31,125.35,Tamil Nadu
OD99,Vince,Snacks,Chocolates,Dharmapuri,09-06-2017,Central,2301,0.28,391.17,Tamil Nadu
OD100,Krithika,Oil & Masala,Spices,Chennai,8/29/2017,Central,1475,0.26,531,Tamil Nadu
